product_id,product_name,price,old_price_text,discount_percent,brand,category,color
369617,Điện thoại Xiaomi Redmi Note 17 4G 4GB/128GB,6490000.0,6.990.000₫,-7%,Xiaomi,Điện thoại,Tím
369626,Điện thoại Xiaomi Redmi Note 17 Pro 5G 12GB/256GB,11990000.0,13.490.000₫,-11%,Xiaomi,Điện thoại,Xanh Dương
369628,Điện thoại Xiaomi Redmi Note 17 Pro Max 5G 12GB/256GB,14990000.0,16.990.000₫,-11%,Xiaomi,Điện thoại,Tím
367002,Điện thoại Xiaomi 17T 5G 12GB/256GB,15890000.0,20.090.000₫,-20%,Xiaomi,Điện thoại,Tím
360302,Điện thoại Xiaomi Redmi Note 15 6GB/128GB,5190000.0,5.990.000₫,-13%,Xiaomi,Điện thoại,Tím
360310,Điện thoại Xiaomi Redmi Note 15 5G 6GB/128GB,6490000.0,7.490.000₫,-13%,Xiaomi,Điện thoại,Xanh Dương
360312,Điện thoại Xiaomi Redmi Note 15 Pro 5G 8GB/256GB,9180000.0,10.490.000₫,-12%,Xiaomi,Điện thoại,Tím
360307,Điện thoại Xiaomi Redmi Note 15 Pro 8GB/256GB,7890000.0,8.990.000₫,-12%,Xiaomi,Điện thoại,Đen
360309,Điện thoại Xiaomi Redmi Note 15 Pro+ 5G 12GB/256GB,11380000.0,12.990.000₫,-12%,Xiaomi,Điện thoại,Đen
356739,Điện thoại Xiaomi 15T Pro 5G 12GB/512GB,16990000.0,19.490.000₫,-12%,Xiaomi,Điện thoại,Đen
369630,Điện thoại Xiaomi Redmi 17 4G 4GB/128GB,5590000.0,5.990.000₫,-6%,Xiaomi,Điện thoại,Đen
365289,Điện thoại Xiaomi Poco C71 4GB/64GB,3590000.0,3.990.000₫,-10%,Xiaomi,Điện thoại,Vàng
364793,Điện thoại Xiaomi Redmi A7 Pro 4GB/64GB,3790000.0,4.190.000₫,-9%,Xiaomi,Điện thoại,Cam
368232,Điện thoại Xiaomi Redmi A7 3GB/64GB,3190000.0,3.890.000₫,-17%,Xiaomi,Điện thoại,Xanh Dương
367004,Điện thoại Xiaomi 17T Pro 5G 12GB/256GB,18310000.0,23.990.000₫,-23%,Xiaomi,Điện thoại,Đen
359776,Điện thoại Xiaomi Redmi 15 5G 4GB/128GB,5280000.0,5.690.000₫,-7%,Xiaomi,Điện thoại,Xanh lá
369620,Điện thoại Xiaomi Redmi Note 17 5G 6GB/128GB,8490000.0,8.990.000₫,-5%,Xiaomi,Điện thoại,Xanh ngọc
346265,Điện thoại Xiaomi Redmi 15C 6GB/128GB,4730000.0,4.990.000₫,-5%,Xiaomi,Điện thoại,Đen
344644,Điện thoại Xiaomi 15T 5G 12GB/256GB,11580000.0,13.990.000₫,-17%,Xiaomi,Điện thoại,Đen
363470,Điện thoại Xiaomi POCO X8 Pro 5G 8GB/256GB,11490000.0,11.990.000₫,-4%,Xiaomi,Điện thoại,Xanh lá
368250,Điện thoại OPPO Reno16F 5G 8GB/128GB,12990000.0,14.990.000₫,-13%,OPPO,Điện thoại,Trắng
370752,Điện thoại OPPO A6 6GB/128GB,9790000.0,9.990.000₫,,OPPO,Điện thoại,Vàng
368099,Điện thoại OPPO Reno16 5G 8GB/256GB,18590000.0,18.990.000₫,,OPPO,Điện thoại,Tím nhạt
360244,Điện thoại OPPO A6x 4GB/64GB,4990000.0,,,OPPO,Điện thoại,Titan Tím
368101,Điện thoại OPPO Reno16 Pro 5G 12GB/256GB,22470000.0,25.990.000₫,-13%,OPPO,Điện thoại,Đen
360240,Điện thoại OPPO Reno15 F 5G 8GB/256GB,11990000.0,,,OPPO,Điện thoại,Xanh Dương
344650,Điện thoại OPPO A6 Pro 8GB/256GB,9990000.0,,,OPPO,Điện thoại,Titan xanh
343124,Điện thoại OPPO A6 Pro 5G 8GB/256GB,10490000.0,10.990.000₫,-4%,OPPO,Điện thoại,Xanh Dương
361191,Điện thoại OPPO A6t 4GB/64GB,4990000.0,,,OPPO,Điện thoại,Xanh
367596,Điện thoại OPPO A6c 4GB/64GB,4690000.0,,,OPPO,Điện thoại,Nâu
365402,Điện thoại OPPO Find X9s 12GB/512GB,25990000.0,26.990.000₫,-3%,OPPO,Điện thoại,Cam nhạt
360238,Điện thoại OPPO Reno15 5G 8GB/256GB,14990000.0,15.990.000₫,-6%,OPPO,Điện thoại,Xanh Dương
360236,Điện thoại OPPO Reno15 Pro 5G 12GB/256GB,17990000.0,18.990.000₫,-5%,OPPO,Điện thoại,Xanh dương nhạt
339177,Điện thoại OPPO Reno14 F 5G 12GB/256GB,10590000.0,11.290.000₫,-6%,OPPO,Điện thoại,Hồng
367598,Điện thoại OPPO A6t Pro 8GB/128GB,9890000.0,10.990.000₫,-10%,OPPO,Điện thoại,Trắng
341378,Điện thoại OPPO A5 8GB/128GB,6290000.0,,,OPPO,Điện thoại,Xanh lá
364791,Điện thoại OPPO Find X9 Ultra 12GB/512GB,44990000.0,49.990.000₫,-10%,OPPO,Điện thoại,Nâu nhạt
332934,Điện thoại OPPO Reno13 5G 12GB/256GB,13200000.0,15.700.000₫,-15%,OPPO,Điện thoại,Xanh Dương
363258,Điện thoại OPPO Find N6 5G 16GB/512GB,60990000.0,64.990.000₫,-6%,OPPO,Điện thoại,Titan xanh
317981,Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hồng,15580000.0,22.580.000₫,-31%,OPPO,Điện thoại,Hồng
363408,Điện thoại Vivo X300 Ultra 16GB/512GB,41490000.0,49.990.000₫,-17%,vivo,Điện thoại,Xanh lá
363466,Điện thoại Vivo V70 FE 5G 8GB/256GB,13490000.0,13.990.000₫,-3%,vivo,Điện thoại,Tím
357576,Điện thoại vivo V60 Lite 5G 8GB/256GB,9980000.0,10.490.000₫,-4%,vivo,Điện thoại,Xanh Dương
357862,Điện thoại vivo X300 Pro 5G 16GB/512GB,31490000.0,34.990.000₫,-10%,vivo,Điện thoại,Đen
339180,Điện thoại vivo Y39 5G 8GB/128GB,6980000.0,7.360.000₫,-5%,vivo,Điện thoại,Tím
341625,Điện thoại vivo V60 5G 12GB/256GB,15390000.0,15.990.000₫,-3%,vivo,Điện thoại,Xám
336408,Điện thoại vivo V50 Lite 5G 8GB/256GB,8810000.0,9.810.000₫,-10%,vivo,Điện thoại,Vàng
365875,Điện thoại vivo Y05 4GB/64GB,4890000.0,4.990.000₫,,vivo,Điện thoại,Đen
360671,Điện thoại vivo Y31d 6GB/128GB,7910000.0,8.990.000₫,-12%,vivo,Điện thoại,Trắng
370492,Điện thoại vivo Y05e 4GB/64GB,4490000.0,,,vivo,Điện thoại,Xanh
365878,Điện thoại Vivo Y11d 4GB/128GB,6490000.0,6.790.000₫,-4%,vivo,Điện thoại,Đen
358669,Điện thoại vivo Y21d 6GB/128GB,6260000.0,6.290.000₫,,vivo,Điện thoại,Tím
363464,Điện thoại Vivo V70 5G 8GB/256GB,17990000.0,,,vivo,Điện thoại,Vàng Hồng
367499,Điện thoại realme 16T 5G 8GB/128GB,9990000.0,10.290.000₫,,realme,Điện thoại,Xanh
367427,Điện thoại realme C100x 4GB/128GB,6790000.0,6.990.000₫,,realme,Điện thoại,Xanh
364187,Điện thoại realme C100 4G 8GB/128GB,8290000.0,8.790.000₫,-5%,realme,Điện thoại,Tím
361703,Điện thoại realme 16 5G 8GB/256GB,10160000.0,11.490.000₫,-11%,realme,Điện thoại,Trắng
360344,Điện thoại realme C85 8GB/128GB,6090000.0,6.290.000₫,-3%,realme,Điện thoại,Xanh dương nhạt
357832,Điện thoại realme C85 Pro 8GB/128GB,6790000,6.990.000₫,,realme,Điện thoại,Tím
362760,Điện thoại realme C85 5G 8GB/128GB,7690000.0,8.090.000₫,-4%,realme,Điện thoại,Xanh
366829,Điện thoại realme C100i 4GB/64GB,5090000.0,5.290.000₫,-3%,realme,Điện thoại,Xám
363438,Điện thoại realme P4 Power 5G 12GB/256GB,13990000,15.990.000₫,-12%,realme,Điện thoại,Cam
343067,Điện thoại realme 15 Pro 5G 12GB/256GB,11490000.0,14.990.000₫,-23%,realme,Điện thoại,Bạc
343063,Điện thoại realme 15T 5G 8GB/256GB,8140000.0,8.990.000₫,-9%,realme,Điện thoại,Bạc
363437,Điện thoại realme Note 80 4GB/64GB,4490000,4.690.000₫,-4%,realme,Điện thoại,Đen
361707,Điện thoại realme 16 Pro 5G 12GB/256GB,14090000,14.490.000₫,,realme,Điện thoại,Tím
343066,Điện thoại realme 15 5G 12GB/256GB,9990000,11.490.000₫,-13%,realme,Điện thoại,Hồng
336623,Điện thoại realme 14 5G 12GB/256GB,9000000.0,10.300.000₫,-12%,realme,Điện thoại,Xám
367204,Điện thoại Tecno Spark 50 4GB/128GB,4690000.0,4.990.000₫,-6%,Tecno,Điện thoại,Xám
364633,Điện thoại Tecno Spark Go 3 4GB/128GB,3690000.0,3.990.000₫,-7%,Tecno,Điện thoại,Xanh Dương
366660,Điện thoại Tecno Spark 40 6GB/128GB,3590000.0,3.790.000₫,-5%,Tecno,Điện thoại,Đen
367617,Điện thoại Tecno Pova Curve 2 5G 8GB/128GB,8990000.0,10.990.000₫,-18%,Tecno,Điện thoại,Tím
368231,Điện thoại Tecno Spark 50 Pro 4GB/128GB,6490000.0,6.990.000₫,-7%,Tecno,Điện thoại,Xám
311033,Điện thoại Nokia 105 4G Pro,780000.0,,,Nokia,Điện thoại,Đen
329676,Điện thoại Nokia HMD 105 4G,750000.0,,,Nokia,Điện thoại,Hồng
207956,Điện thoại Nokia 220 4G,1100000.0,,,Nokia,Điện thoại,Cam
311034,Điện thoại Nokia 110 4G Pro,850000.0,,,Nokia,Điện thoại,Xanh
326477,Điện thoại Nokia 3210 4G,1490000.0,,,Nokia,Điện thoại,Đen
